area_code,gp_access_score,gp_access_quintile,gp_access_decile
E01000421,0.30491719091025804,4,8
E01000422,0.47631274874823465,3,6
E01000423,0.310052638336115,4,8
E01000424,0.25613044036461674,5,9
E01000425,0.6701758890743355,2,4
E01000426,0.7337270509693156,2,4
E01000427,0.7176787777635125,2,4
E01000428,0.46475799204005647,3,6
E01000429,0.3967133136474515,4,7
E01000430,0.509693157016305,3,6
E01000431,0.4589806136859673,3,6
E01000432,0.5642572859160353,3,5
E01000433,0.5963538323276415,3,5
E01000434,0.44357427140839645,4,7
E01000435,0.7523430478880471,2,4
E01000436,0.1816664526896906,5,10
E01000437,0.4467839260495571,4,7
E01000438,0.2747464372833483,5,9
E01000439,0.07125433303376556,5,10
E01000440,0.45063551161894977,4,7
E01000441,0.33380408268070355,4,8
E01000442,0.47888047246116316,3,6
E01000443,0.25869816407754526,5,9
E01000444,0.5308768776479651,3,6
E01000445,0.3453588393888818,4,8
E01000446,0.22916934137886763,5,9
E01000447,0.2432918217999743,5,9
E01000448,0.4223905507767364,4,7
E01000449,0.110412119655925,5,10
E01000450,0.4455000641930928,4,7
E01000451,0.42945179098728975,4,7
E01000452,0.31968160225959685,4,8
E01000453,0.5173963281550905,3,6
E01000454,0.41019386314032613,4,7
E01000455,0.2086275516754397,5,10
E01000456,0.5321607395044292,3,6
E01000457,0.1964308640390294,5,10
E01000458,0.3498523558865066,4,8
E01000459,0.20477596610604698,5,10
E01000460,0.43522916934137884,4,7
E01000461,0.5591218384901785,3,5
E01000462,0.28501733213506225,5,9
E01000463,0.2375144434458852,5,9
E01000464,0.8980613685967388,2,3
E01000465,0.9115419180896135,2,3
E01000466,0.7125433303376555,2,4
E01000467,0.9879316985492359,2,3
E01000468,1.3904223905507767,1,2
E01000469,1.0469893439465912,1,2
E01000470,0.3928617280780588,4,7
E01000471,0.3440749775324175,4,8
E01000472,0.15598921556040568,5,10
E01000473,0.1238926691487996,5,10
E01000474,0.2882269867762229,5,9
E01000475,0.4564128899730388,4,7
E01000476,0.27538836821158047,5,9
E01000477,0.5109770188727693,3,6
E01000478,0.25227885479522405,5,9
E01000479,0.30555912183849016,4,8
E01000480,0.47438695596353825,3,6
E01000481,0.35049428681473876,4,8
E01000482,0.1238926691487996,5,10
E01000483,0.1900115547567082,5,10
E01000484,0.4397226858390037,4,7
E01000485,0.18872769290024394,5,10
E01000486,0.3139042239055077,4,8
E01000487,0.23494671973295672,5,9
E01000488,0.2856592630632944,5,9
E01000489,0.17203748876620875,5,10
E01000490,0.346642701245346,4,8
E01000491,0.5154705353703942,3,6
E01000492,0.23302092694826035,5,9
E01000493,0.30363332905379375,4,8
E01000494,0.5116189498010014,3,6
E01000495,0.4981384003081268,3,6
E01000497,0.22595968673770703,5,9
E01000498,0.28116574656566956,5,9
E01000499,0.22916934137886763,5,9
E01000501,0.2901527795609192,5,9
E01000502,0.26383361150340223,5,9
E01000503,0.3858004878675054,4,7
E01000504,0.37873924765695205,4,7
E01000505,0.5713185261265887,3,5
E01000506,0.5764539735524458,3,5
E01000507,0.8178200025677236,2,3
E01000508,0.45577095904480674,4,7
E01000509,0.25677237129284886,5,9
E01000510,0.0950057773783541,5,10
E01000511,0.346642701245346,4,8
E01000512,0.8300166902041339,2,3
E01000513,0.40120683014507635,4,7
E01000514,0.33572987546539995,4,8
E01000515,0.4243163435614328,4,7
E01000516,0.09885736294774683,5,10
E01000517,0.20156631146488638,5,10
E01000518,0.46475799204005647,3,6
E01000519,0.2856592630632944,5,9
E01000520,0.24136602901527793,5,9
E01000521,0.1412248042110669,5,10
E01000522,0.5366542560020541,3,6
E01000523,0.36204904352291695,4,8
E01000524,0.16240852484272691,5,10
E01000525,0.1989985877519579,5,10
E01000526,0.19835665682372575,5,10
E01000527,0.40634227757093333,4,7
E01000528,0.2708948517139556,5,9
E01000530,0.2741045063551162,5,9
E01000531,0.2465014764411349,5,9
E01000532,0.49685453845166255,3,6
E01000533,0.30363332905379375,4,8
E01000534,0.2079856207472076,5,10
E01000535,0.20156631146488638,5,10
E01000536,0.2901527795609192,5,9
E01000538,0.6772371292848888,2,4
E01000539,0.44614199512132496,4,7
E01000540,0.5077673642316086,3,6
E01000541,0.5084092951598408,3,6
E01000543,0.23109513416356395,5,9
E01000544,0.3665425600205418,4,8
E01000545,0.09051226088072924,5,10
E01000546,0.22595968673770703,5,9
E01000547,0.36012325073822055,4,8
E01000548,0.41019386314032613,4,7
E01000549,0.40634227757093333,4,7
E01000550,0.10206701758890745,5,10
E01000551,0.14892797534985236,5,10
E01000552,0.28437540120683014,5,9
E01000553,0.09564770830658621,5,10
E01000554,0.35370394145589934,4,8
E01000555,0.26640133521633075,5,9
E01000556,0.09436384645012197,5,10
E01000557,0.02567723712928488,5,10
E01000558,0.18359224547438696,5,10
E01000559,0.14443445885222753,5,10
E01000560,0.12004108357940685,5,10
E01000561,0.21440493002952882,5,10
E01000562,0.383874695082809,4,7
E01000563,0.22981127230709977,5,9
E01000564,0.6669662344331748,2,4
E01000565,0.18936962382847605,5,10
E01000566,0.6387212735909615,3,5
E01000567,0.2760302991398126,5,9
E01000568,0.8075491077160097,2,3
E01000569,0.6650404416484784,2,4
E01000570,0.5745281807677493,3,5
E01000571,0.2452176145846707,5,9
E01000572,0.7086917447682628,2,4
E01000573,0.36140711259468483,4,8
E01000574,0.7163949159070483,2,4
E01000575,0.33444601360893567,4,8
E01000576,0.2169726537424573,5,10
E01000577,0.5899345230453202,3,5
E01000578,0.26062395686224166,5,9
E01000579,0.5976376941841056,3,5
E01000580,0.25035306201052765,5,9
E01000581,0.11683142893824623,5,10
E01000582,0.25035306201052765,5,9
E01000583,0.07831557324431891,5,10
E01000584,0.12196687636410321,5,10
E01000585,0.37424573115932724,4,8
E01000586,0.33572987546539995,4,8
E01000587,0.12646039286172808,5,10
E01000588,0.2221081011683143,5,9
E01000589,0.48979329824110923,3,6
E01000590,0.1534214918474772,5,10
E01000591,0.3068429836949544,4,8
E01000592,0.25677237129284886,5,9
E01000593,0.29913981255616895,5,9
E01000594,0.4775966106046989,3,6
E01000595,0.4467839260495571,4,7
E01000596,0.310052638336115,4,8
E01000599,0.26640133521633075,5,9
E01000600,0.4641160611118243,3,6
E01000601,0.5873667993323917,3,5
E01000602,1.4160996276800615,1,2
E01000603,0.16690204134035178,5,10
E01000604,1.691487995891642,1,1
E01000605,0.2689690589292592,5,9
E01000606,0.3479265631018102,4,8
E01000607,0.6130440364616766,3,5
E01000608,0.336371806393632,4,8
E01000609,0.45063551161894977,4,7
E01000610,0.4057003466427012,4,7
E01000611,0.336371806393632,4,8
E01000612,0.15984080112979843,5,10
E01000613,0.7061240210553342,2,4
E01000615,0.667608165361407,2,4
E01000616,0.38965207343689817,4,7
E01000617,0.23430478880472458,5,9
E01000618,0.26447554243163435,5,9
E01000619,0.47888047246116316,3,6
E01000620,0.22660161766593914,5,9
E01000621,0.2221081011683143,5,9
E01000622,0.5950699704711773,3,5
E01000623,0.23302092694826035,5,9
E01000624,0.3183977404031326,4,8
E01000625,0.39350365900629086,4,7
E01000626,0.5770959044806777,3,5
E01000627,0.6701758890743355,2,4
E01000628,0.48529978174348437,3,6
E01000629,0.15791500834510205,5,10
E01000630,0.34856849403004236,4,8
E01000631,0.24200795994351007,5,9
E01000632,0.05007061240210553,5,10
E01000633,0.194505071254333,5,10
E01000634,0.22531775580947488,5,9
E01000635,0.2683271280010271,5,9
E01000636,0.25613044036461674,5,9
E01000637,0.2079856207472076,5,10
E01000638,0.310052638336115,4,8
E01000639,0.2907947104891513,5,9
E01000640,0.09821543201951471,5,10
E01000641,0.3004236744126332,5,9
E01000642,0.2400821671588137,5,9
E01000643,0.1900115547567082,5,10
E01000644,0.20413403517781487,5,10
E01000645,0.9763769418410577,2,3
E01000646,0.36269097445114906,4,8
E01000647,0.5514186673513929,3,5
E01000648,0.7003466427012452,2,4
E01000649,0.4724611631788419,3,6
E01000650,0.5347284632173578,3,6
E01000651,0.8505584799075618,2,3
E01000652,0.709975606624727,2,4
E01000653,0.872384131467454,2,3
E01000654,0.6560534086532288,3,5
E01000655,0.8178200025677236,2,3
E01000656,0.25677237129284886,5,9
E01000657,0.18487610733085122,5,10
E01000658,0.6156117601746052,3,5
E01000659,0.47438695596353825,3,6
E01000661,0.6066247271793554,3,5
E01000662,0.6393632045191937,3,5
E01000663,0.9115419180896135,2,3
E01000664,1.3281550905122605,1,2
E01000665,1.2723070997560662,1,2
E01000666,1.4732314802927204,1,2
E01000667,1.1400693285402488,1,2
E01000668,0.46283219925536007,3,6
E01000669,0.3004236744126332,5,9
E01000670,0.4609064064706637,3,6
E01000671,0.7606881499550646,2,4
E01000672,0.3646167672358454,4,8
E01000673,0.5629734240595711,3,5
E01000674,0.15984080112979843,5,10
E01000675,0.30170753626909735,4,8
E01000676,0.43779689305430736,4,7
E01000677,0.7157529849788162,2,4
E01000678,0.42945179098728975,4,7
E01000679,0.7953524200795993,2,4
E01000680,1.4199512132494543,1,2
E01000681,0.3042752599820259,4,8
E01000682,0.6162536911028373,3,5
E01000683,0.47888047246116316,3,6
E01000684,0.4795224033893952,3,6
E01000685,0.29785595069970466,5,9
E01000686,0.36975221466170244,4,8
E01000687,0.2554885094363846,5,9
E01000688,0.33958146103479264,4,8
E01000689,0.8486326871228654,2,3
E01000690,0.38644241879573754,4,7
E01000691,0.294004365130312,5,9
E01000692,0.26575940428809863,5,9
E01000693,0.9808704583386826,2,3
E01000694,0.8550519964051866,2,3
E01000695,0.6162536911028373,3,5
E01000696,0.7285916035434586,2,4
E01000697,0.8910001283861855,2,3
E01000698,1.1310822955449993,1,2
E01000699,0.26254974964693795,5,9
E01000700,0.7009885736294773,2,4
E01000701,0.3999229682886121,4,7
E01000702,0.5180382590833226,3,6
E01000703,0.28052381563743745,5,9
E01000704,0.5206059827962511,3,6
E01000705,0.5366542560020541,3,6
E01000706,0.5790216972653742,3,5
E01000707,0.2766722300680447,5,9
E01000708,0.18615996918731545,5,10
E01000709,0.4339453074849146,4,7
E01000710,0.794068558223135,2,4
E01000711,0.7497753241751187,2,4
E01000712,0.5315188085761972,3,6
E01000713,0.5854410065476955,3,5
E01000714,0.2432918217999743,5,9
E01000715,0.2086275516754397,5,10
E01000716,0.5026319168057517,3,6
E01000717,0.7420721530363331,2,4
E01000718,0.9693157016305045,2,3
E01000719,0.6740274746437281,2,4
E01000720,1.325587366799332,1,2
E01000721,0.6977789189883168,2,4
E01000722,0.14186673513929904,5,10
E01000723,0.4134035177814867,4,7
E01000724,0.4499935806907177,4,7
E01000725,0.34856849403004236,4,8
E01000726,0.10720246501476442,5,10
E01000727,0.3447169084606496,4,8
E01000728,1.097701887276929,1,2
E01000729,0.31069456926434713,4,8
E01000730,0.6997047117730131,2,4
E01000731,0.8120426242136345,2,3
E01000732,0.36269097445114906,4,8
E01000733,0.3068429836949544,4,8
E01000734,0.4268840672743613,4,7
E01000735,0.8627551675439721,2,3
E01000736,0.7215303633329052,2,4
E01000737,0.5957119013994094,3,5
E01000738,0.22082423931185005,5,9
E01000739,0.20734368981897547,5,10
E01000740,0.5263833611503402,3,6
E01000741,0.5661830787007318,3,5
E01000742,0.5841571446912311,3,5
E01000743,0.21440493002952882,5,10
E01000744,0.4724611631788419,3,6
E01000745,0.7144691231223519,2,4
E01000746,0.5578379766337141,3,5
E01000747,2.3141609962768004,1,1
E01000748,1.5476954679676465,1,1
E01000749,1.1676723584542301,1,2
E01000750,0.4891513673128771,3,6
E01000751,0.22981127230709977,5,9
E01000752,0.3068429836949544,4,8
E01000753,0.7125433303376555,2,4
E01000754,0.6444986519450506,3,5
E01000755,0.7003466427012452,2,4
E01000756,0.5514186673513929,3,5
E01000757,0.719604570548209,2,4
E01000758,0.32610091154191806,4,8
E01000759,0.9282321222236486,2,3
E01000760,0.49107716009757346,3,6
E01000761,0.6143278983181409,3,5
E01000762,1.003979971755039,2,3
E01000763,0.572602387983053,3,5
E01000764,0.6971369880600846,2,4
E01000765,0.18615996918731545,5,10
E01000766,0.30555912183849016,4,8
E01000767,0.17845679804852999,5,10
E01000768,0.45191937347541394,4,7
E01000769,0.804339453074849,2,3
E01000770,0.41468737963795094,4,7
E01000771,0.26383361150340223,5,9
E01000772,0.43715496212607524,4,7
E01000773,0.5250994992938759,3,6
E01000774,0.17653100526383358,5,10
E01000775,1.0283733470278598,1,2
E01000777,0.7125433303376555,2,4
E01000778,0.6958531262036203,2,4
E01000779,0.6740274746437281,2,4
E01000780,0.46925150853768127,3,6
E01000781,0.39478752086275515,4,7
E01000782,0.1919373475414045,5,10
E01000783,0.33252022082423927,4,8
E01000784,0.2201823083836179,5,9
E01000785,0.2728206444986519,5,9
E01000786,0.8364359994864552,2,3
E01000787,0.3607651816664527,4,8
